STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CLIMATE_CHANGE_INDICATORS,Climate Change Indicators,GEO_PICT,Pacific Island Countries and territories,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2010,,38.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2011,,41.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2012,,46.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2013,,42.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2014,,36,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2015,,36.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2016,,36,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2017,,40.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2018,,38.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2019,,40.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2020,,47.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2021,,54.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2022,,58.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NR,Nauru,2023,,58.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2000,,2.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2001,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2002,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2003,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2004,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2005,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2006,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2007,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2008,,3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2009,,3.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2010,,3.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2011,,3.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2012,,3.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2013,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2014,,3.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2015,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2016,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2017,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2018,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2019,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2020,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2021,,3.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2022,,4.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,NU,Niue,2023,,4.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2000,,4.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2001,,4.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2002,,5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2003,,5.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2004,,5.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2005,,5.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2006,,5.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2007,,5.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2008,,5.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2009,,5.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2010,,6.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2011,,6.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2012,,6.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2013,,6.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2014,,6.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2015,,7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2016,,8.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2017,,8.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2018,,8.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2019,,9.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2020,,9.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2021,,10,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2022,,11.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,TV,Tuvalu,2023,,11.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2000,,2392.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2001,,2273,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2002,,2269.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2003,,2257.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2004,,2248.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2005,,2370.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2006,,2625.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2007,,2683.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2008,,2807.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2009,,3262.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2010,,3265.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2011,,3389.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2012,,3429.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2013,,3508.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2014,,3288.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2015,,3003.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2016,,2985.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2017,,2827.4,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2018,,3127.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2019,,2727.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2020,,2862.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2021,,2864.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2022,,3407.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,PG,Papua New Guinea,2023,,2841.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2000,,13.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2001,,14.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2002,,14.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2003,,17.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2004,,20.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2005,,22.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2006,,23.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2007,,23.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2008,,22.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2009,,22.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2010,,21.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2011,,21.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2012,,22.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2013,,23.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2014,,19.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2015,,22,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2016,,23.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2017,,26.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2018,,28,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2019,,30.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2020,,30.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2021,,30.9,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2022,,30.8,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,KI,Kiribati,2023,,34.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2000,,88.2,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2001,,99.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2002,,104.6,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2003,,106.7,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2004,,109.1,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2005,,113.3,,,,GWH,Gigawatt-hour,,,,,N,National,,
DATAFLOW,SPC:DF_CLIMATE_CHANGE(1.0),Climate Change indicators,I,A,Annual,POWER_GEN,Power generation,WS,Samoa,2006,,112.5,,,,GWH,Gigawatt-hour,,,,,N,National,,
